Vera,F,48
Alphonse,M,20
Tim,M,12
Henry,M,2444
Alois,M,10
Burley,M,7
Firman,M,5
Dock,M,46
Malcom,M,5
Robert,F,12
Minna,F,17
Lavenia,F,8
Isabell,F,22
Ned,M,33
Ezekiel,M,16
Vida,F,13
Elroy,M,5
Millicent,F,8
Van,M,33
Howell,M,14
Otha,M,8
Wiley,M,78
Mozella,F,5
Stanton,M,6
Beulah,F,131
Faith,F,6
Georgia,F,259
Corinne,F,33
Clarissa,F,10
Juan,M,39
Ada,F,652
Rufus,M,163
Tabitha,F,8
Rennie,F,5
Cecil,F,14
Dicie,F,8
Anna,M,12
Alvia,M,5
Quincy,M,8
Jean,M,12
Dean,M,14
Norman,M,102
Lucy,F,590
Manson,M,5
Sibyl,F,5
Clem,M,22
Lilian,F,19
Ethel,F,633
Clyde,F,13
Emma,F,2003
Abe,M,50
Gustav,M,33
Alonzo,M,122
Benton,M,10
Dolores,F,13
Friend,M,6
Orilla,F,8
Daisy,F,564
Stanley,M,65
Adrienne,F,5
Jerry,M,136
Magnolia,F,8
Ludie,F,15
Hermann,M,9
Leland,M,9
Lavonia,F,5
Elisabeth,F,24
Evalyn,F,8
Lilly,F,64
Annette,F,28
Lora,F,74
Gottlieb,M,5
Hershel,M,5
Ervin,M,30
Hettie,F,69
Rilla,F,17
Avery,M,9
Ola,F,67
Rich,M,8
Reginald,M,14
Dell,M,15
Bert,M,348
Lauretta,F,6
Evelina,F,8
Erastus,M,19
Buck,M,5
Cary,M,17
Thurman,M,8
Fay,M,15
Harry,F,6
Hays,M,5
Arie,F,9
Lola,F,138
Alden,M,9
Ed,M,310
Thea,F,6
Bart,M,7
Randolph,M,19
Tobe,M,15
Ely,M,5
Felipe,M,8
Titus,M,6
Helena,F,60
Jimmie,F,15
Hedwig,F,7
Buford,M,11
Jimmie,M,24
Cecelia,F,47
Dollie,F,69
Miles,M,54
Linnie,F,41
Verne,M,11
Pearle,F,20
Betsy,F,14
Joshua,M,57
Burl,M,14
Morgan,M,33
Pierce,M,16
Richmond,M,8
Cordia,F,8
Micheal,M,20
Judd,M,5
Michel,M,6
Elvina,F,5
Nannie,F,248
Sara,F,165
Nora,M,5
Gena,F,11
Edmonia,F,11
Queenie,F,11
Ida,M,8
Martina,F,6
Arther,M,17
Tommie,M,15
Tella,F,5
Ottilie,F,6
Kirk,M,6
Golda,F,6
Faye,F,8
Bailey,M,12
Otelia,F,7
Albertus,M,5
Antonia,F,18
Bud,M,37
Arrie,F,6
Butler,M,8
Oswald,M,9
Vance,M,7
Janette,F,6
Hector,M,15
Claire,F,21
Mortimer,M,12
Tilden,M,8
Meta,F,37
Angelina,F,9
Merle,F,6
Lonnie,M,53
Bishop,M,12
Leanna,F,7
Taylor,M,37
Marjorie,F,16
Mac,M,7
Elisha,M,32
Orin,M,20
Clair,M,12
Hope,M,6
Genie,F,5
Cyrus,M,54
Augustine,F,6
Lorena,F,29
Hiram,M,88
Zachariah,M,5
Columbus,M,64
Eldora,F,11
Rosia,F,8
Elmer,M,373
Floyd,M,206
Corda,F,9
Lillie,F,647
Ennis,M,5
Gertrude,F,787
Lynn,F,5
Christian,M,43
Truman,M,12
Seymour,M,14
Birdie,F,85
Clovis,M,7
Winston,M,5
Ellar,F,5
Abram,M,21
Loma,F,7
Earl,M,335
Leola,F,24
Garfield,M,122
Frances,M,16
Floy,F,23
Edyth,F,6
Dudley,M,27
Solomon,M,62
America,F,16
Zada,F,13
Hanna,F,25
Nell,F,77
Claus,M,7
Metta,F,15
Wilma,F,5
Antoinette,F,19
Nelia,F,5
Vena,F,11
Oren,M,13
Juliet,F,10
Frankie,F,17
Abel,M,9
Pansy,F,8
Freddie,F,6
Camilla,F,6
Wright,M,5
Lella,F,5
Justin,M,8
Yee,M,6
Tennessee,F,5
Lena,F,603
Theda,F,5
Archibald,M,27
Judith,F,5
Hermine,F,6
Flora,F,365
Addie,F,274
Emil,M,119
Verdie,F,8
Margie,F,31
Theo,F,7
Alcide,M,7
Chesley,M,5
Nola,F,23
Lotta,F,12
Allie,F,105
Elma,F,28
Nicholas,M,73
Florance,F,7
Fredrick,M,103
Hosteen,M,5
Lyman,M,31
Elvira,F,30
Zoa,F,8
Diana,F,10
Garrett,M,13
Josie,F,141
Hamp,M,9
Joeseph,M,6
Adelaide,F,65
Colin,M,6
Dennis,M,128
Lenore,F,12
Almeda,F,21
Paula,F,9
Lucia,F,15
Byron,M,52
Martha,F,1040
Rosalee,F,5
Elise,F,24
Mary,M,27
Eliga,M,5
Margaretta,F,5
Ivory,M,8
Reuben,M,92
Ena,F,5
Miller,M,7
Dallas,M,20
Olivia,F,44
Malissa,F,22
Theodora,F,11
Laurence,M,25
Alvena,F,8
Melva,F,6
Gordon,M,51
Obed,M,6
Len,M,7
Tracy,M,6
Emile,M,12
Soloman,M,6
Aaron,M,102
Adela,F,9
Manuel,M,75
Henery,M,8
Karl,M,21
Arthur,F,5
Jarrett,M,6
Marvin,M,69
Lavern,M,5
Elam,M,6
Magdalena,F,19
Albertine,F,5
Authur,M,10
Cornelious,M,10
Dell,F,9
Fanny,F,67
Andrew,M,644
Wilmer,M,19
Lucien,M,19
Milford,M,6
Vannie,F,5
Henrietta,F,191
Alda,F,6
Susanna,F,21
Sophia,F,138
Eben,M,9
Angie,F,36
Price,M,8
Seth,M,25
Merida,M,5
Clementine,F,19
Oran,M,14
Morton,M,16
Barney,M,44
Holly,M,5
Gary,M,6
Leo,M,147
Vada,F,9
Agatha,F,16
Auther,M,6
Alton,M,14
Sena,F,10
Polly,F,41
Allie,M,31
Edythe,F,19
Garry,M,6
Lovisa,F,5
Celia,F,90
Lacy,M,9
Suzanne,F,6
Alva,F,17
Lenard,M,8
Nancy,F,410
Noble,M,6
Idell,F,8
Connie,M,7
Delmar,M,6
Ivey,M,7
Kelly,M,5
Clarice,F,9
Doshie,F,7
Chris,M,49
Wallace,M,91
Jason,M,20
Effie,F,406
Chester,M,168
Arvid,M,5
Wesley,M,123
Sam,M,457
Edmond,M,44
Ellen,F,411
Alla,F,6
Jesse,F,5
Permelia,F,9
Norris,M,12
Coleman,M,12
Rafael,M,7
Jeanne,F,12
Archie,M,183
Evelyn,F,122
Reba,F,13
Roxanna,F,9
Frieda,F,26
Turner,M,11
Wilber,M,23
Gerald,M,11
Freddie,M,9
Hyrum,M,5
Kit,M,5
Bradford,M,5
Anthony,M,130
Dorothea,F,16
Thelma,F,5
Math,M,7
India,F,12
Bartholomew,M,5
Hattie,M,6
Willie,M,476
Philomena,F,10
Leopold,M,8
Adah,F,24
Francis,M,344
Dixie,F,15
West,M,13
Bruce,M,47
Lindsey,M,11
Wilbur,M,82
Elton,M,7
Ples,M,7
Zona,F,8
Reta,F,5
Isadore,M,9
Wood,M,5
Edgar,M,283
Tony,M,42
Thomas,M,2534
Lawson,M,20
Elder,M,8
Dorothy,F,112
Zeb,M,10
Granville,M,27
Clara,M,8
Olive,F,224
